Name,Category,Reviews,Address
합 성대직영2호점,요리주점,리뷰 999+,경기 수원시 장안구 서부로2105번길 26-4 2층 합
카페롤랑,"카페,디저트",리뷰 349,경기 수원시 장안구 율전로85번길 20 1층 카페롤랑
천하일면 수원성대점,국수,리뷰 264,경기 수원시 장안구 화산로233번길 46
국수파동,국수,리뷰 299,경기 수원시 장안구 화산로233번길 64 1층
텐푸라바사바사,일식당,리뷰 435,경기 수원시 장안구 서부로 2112 1층 텐푸라 바사바사
만취,요리주점,리뷰 24,경기 수원시 장안구 화산로233번길 38 2층 202호
뎅과꼬치로 수원본점,"오뎅,꼬치",리뷰 243,경기 수원시 장안구 서부로2105번길 26-8 102호
도래홍막창,"곱창,막창,양",리뷰 457,경기 수원시 장안구 서부로2105번길 16-4 1층 도래홍막창
인더비엣 수원성대점,베트남음식,리뷰 888,경기 수원시 장안구 율전로108번길 23 인더비엣 수원성대점
주꼬로 성대점,술집,리뷰 363,경기 수원시 장안구 서부로2105번길 26-5 102호
정원,중식당,리뷰 486,경기 수원시 장안구 서부로2123번길 34-3 2층
도레미파스타,이탈리아음식,리뷰 261,경기 수원시 장안구 서부로2106번길 26-15 101호
양푼동태탕,"매운탕,해물탕",리뷰 999+,경기 수원시 장안구 서부로2168번길 13-10
일성,일식당,리뷰 169,경기 수원시 장안구 율전로 92 1층 105호
불여우닭발 수원성대점,닭발,리뷰 75,"경기 수원시 장안구 서부로2123번길 20 105, 106호"
행컵 성균관대점,"도시락,컵밥",리뷰 265,경기 수원시 장안구 서부로2126번길 30
다또케이크,케이크전문,리뷰 64,경기 수원시 장안구 화산로 235 301호
본찌돈까스 성대점,돈가스,리뷰 481,경기 수원시 장안구 서부로2106번길 22
사거리다방,카페,리뷰 440,경기 수원시 장안구 율전로85번길 2 상가 102호
먹깨비김밥,김밥,리뷰 999+,경기 수원시 장안구 서부로 2129-1
몽키키친,양식,리뷰 18,경기 수원시 장안구 화산로203번길 34 1층
우특심한우곱창,"곱창,막창,양",리뷰 373,경기 수원시 장안구 율전로 90-10
파치 성대점,"스파게티,파스타전문",리뷰 220,경기 수원시 장안구 서부로 2136 지하 1층
동네아저씨 수원성아치점,"치킨,닭강정",리뷰 132,경기 수원시 장안구 서부로2123번길 29 기인빌딩 2층
백령도바지락칼국수,"칼국수,만두",리뷰 536,경기 수원시 장안구 화산로233번길 49 2층
에그2000 커피&토스트 율전점,토스트,리뷰 69,경기 수원시 장안구 율전로 107 1층 에그2000율전점
밀플랜 본점,"다이어트,샐러드",리뷰 195,경기 수원시 장안구 율전로 90-6
일미리금계찜닭 수원 성균관대점,찜닭,리뷰 457,경기 수원시 장안구 서부로2126번길 26 1층
영통찌개지존 영통1호점,"찌개,전골",리뷰 329,경기 수원시 장안구 화산로233번길 47 투다리
성대목장,한식,리뷰 338,경기 수원시 장안구 서부로2105번길 16-1 성대하이퍼
원숭이초밥,"초밥,롤",리뷰 672,경기 수원시 장안구 하률로 7 101호 원숭이초밥
황금족발수원성대점,"족발,보쌈",리뷰 999+,경기 수원시 장안구 서부로 2125 율전빌딩
아그집쭈꾸미 성대점,주꾸미요리,리뷰 338,경기 수원시 장안구 화산로233번길 12 2층 아그집쭈꾸미 수원성대점
스타벅스 수원성균관대점,카페,리뷰 999+,경기 수원시 장안구 서부로 2131
일미닭갈비파전 성대점,닭갈비,리뷰 240,경기 수원시 장안구 서부로2106번길 21 2층
회조아,생선회,리뷰 311,경기 수원시 장안구 화산로259번길 40 1층
밥은화 수원 성균관대점,한식,리뷰 80,경기 수원시 장안구 서부로2106번길 26-6 1층 밥은화
비건디저트 모앤더비,"카페,디저트",리뷰 379,경기 수원시 장안구 율전로 105 모앤더비
지코바치킨 율전점,"치킨,닭강정",리뷰 404,경기 수원시 장안구 서부로2126번길 17 a동 2호
감스시,"초밥,롤",리뷰 311,경기 수원시 장안구 서부로2123번길 17 우신빌딩 1층
홍구등갈비,"육류,고기요리",리뷰 628,경기 수원시 장안구 서부로2168번길 5-13 1층
율전방앗간,한식,리뷰 333,경기 수원시 장안구 율전로98번길 18-12
Not alone,"카페,디저트",리뷰 135,경기 수원시 장안구 화산로213번길 9-3 1층 Not alone
성대왕돈까스,돈가스,리뷰 227,경기 수원시 장안구 서부로2106번길 21
우리동네스시신조,"초밥,롤",리뷰 999+,경기 수원시 장안구 만석로19번길 25-5 2층
스타디움 펍,"맥주,호프",리뷰 26,경기 수원시 장안구 화산로213번길 11 지하1층
백사104,요리주점,리뷰 450,경기 수원시 장안구 화산로233번길 61 1층 백사(104)
르뱅베이커리,베이커리,리뷰 435,경기 수원시 장안구 서부로2135번길 13
밀주집,요리주점,리뷰 44,경기 수원시 장안구 화산로233번길 38 지하1층
우리소양평해장국 성대점,감자탕,리뷰 999+,경기 수원시 장안구 서부로 2179
맥주호텔,"맥주,호프",리뷰 336,경기 수원시 장안구 서부로2105번길 12 2층 맥주호텔
육식,돼지고기구이,리뷰 146,경기 수원시 장안구 율전로 92 106호
교촌치킨 율전1호점,"치킨,닭강정",리뷰 837,경기 수원시 장안구 서부로2123번길 34-3 율전1호점
르 디망슈,"카페,디저트",리뷰 398,경기 수원시 장안구 율전로107번길 5 1층 르디망슈
섬세한남자,"카페,디저트",리뷰 281,경기 수원시 장안구 율전로 93 101호
아웃닭 수원성균관대점,"치킨,닭강정",리뷰 268,경기 수원시 장안구 화산로213번길 15
춘천닭갈비칡냉면,닭갈비,리뷰 425,경기 수원시 장안구 화산로233번길 64
아이엠바리스타,카페,리뷰 205,경기 수원시 장안구 서부로 2132
슈케익하우스 율전점,케이크전문,리뷰 430,경기 수원시 장안구 율전로 92 뉴대명빌딩 101호
포크포크매콤돈가스칡불냉면,돈가스,리뷰 601,경기 수원시 장안구 서부로2106번길 14
부산꼼장어,"장어,먹장어요리",리뷰 47,경기 수원시 장안구 덕영대로425번길 12 1층
육전면사무소 수원성균관대점,요리주점,리뷰 125,경기 수원시 장안구 서부로 2115 1층
완미족발 수원성대점,"족발,보쌈",리뷰 345,경기 수원시 장안구 서부로 2107
경복궁개성손만두메밀소바전문점,"칼국수,만두",리뷰 999+,경기 수원시 장안구 서부로 2171 1층 gs주유소옆
감성,요리주점,리뷰 63,경기 수원시 장안구 화산로233번길 55 1층
한남동그집 성대역점,요리주점,리뷰 69,경기 수원시 장안구 서부로2123번길 20 1층 104호
한아스콘,베이커리,리뷰 327,경기 수원시 장안구 율전로101번길 13 1층 한아스콘
명가양꼬치,양꼬치,리뷰 183,경기 수원시 장안구 서부로2105번길 21
맥도날드 수원 성균관대점,햄버거,리뷰 999+,경기 수원시 장안구 서부로 2127
1인자24시감자탕뼈해장국 율전점,감자탕,리뷰 526,경기 수원시 장안구 화산로233번길 43
엉터리생고기 수원성대역점,"육류,고기요리",리뷰 287,경기 수원시 장안구 화산로 231-10 동경빌딩 2층
